id,name,city,type,latitude,longitude
0,Terminal Purabaya (Bungurasih),Surabaya,BusTerminal,-7.3574,112.7272
1,Terminal Bunder,Gresik,BusTerminal,-7.1492,112.6558
2,Terminal Porong,Sidoarjo,BusTerminal,-7.5369,112.6896
3,Terminal Larangan,Sidoarjo,BusTerminal,-7.4627,112.7064
4,Terminal Intermoda Joyoboyo,Surabaya,BusTerminal,-7.2989,112.7239
5,Halte Dukuh Menanggal,Surabaya,BusStop,-7.3382,112.7285
6,Halte Siwalankerto,Surabaya,BusStop,-7.3478,112.7285
7,Halte Taman Pelangi,Surabaya,BusStop,-7.3263,112.7271
8,Halte RS Bhayangkara,Surabaya,BusStop,-7.3192,112.7258
9,Halte Ketintang,Surabaya,BusStop,-7.3072,112.7231
10,Halte Pondok Mutiara,Surabaya,BusStop,-7.3532,112.7278
11,Halte Transit Point TransJatim,Surabaya,Interchange,-7.3556,112.7275
12,Halte Bungurasih Luar,Surabaya,BusStop,-7.3580,112.7280
13,Halte Jemur Ngawinan,Surabaya,BusStop,-7.3178,112.7412
14,Halte Wonocolo,Surabaya,BusStop,-7.3276,112.7378
15,Halte Margorejo,Surabaya,BusStop,-7.3084,112.7369
16,Halte Joyoboyo 2,Surabaya,BusStop,-7.2996,112.7243
17,Halte RS Darmo,Surabaya,BusStop,-7.2904,112.7261
18,Halte Pandegiling,Surabaya,BusStop,-7.2841,112.7248
19,Halte Urip Sumoharjo,Surabaya,BusStop,-7.2783,112.7283
20,Halte Basra,Surabaya,BusStop,-7.2751,112.7344
21,Halte Kaliasin,Surabaya,BusStop,-7.2672,112.7381
22,Halte Embong Malang,Surabaya,BusStop,-7.2644,112.7402
23,Halte Blauran,Surabaya,BusStop,-7.2608,112.7394
24,Halte Pirngadi,Surabaya,BusStop,-7.2537,112.7335
25,Halte Pasar Turi,Surabaya,BusStop,-7.2479,112.7283
26,Halte Masjid Kemayoran,Surabaya,BusStop,-7.2416,112.7263
27,Halte Indrapura,Surabaya,BusStop,-7.2361,112.7298
28,Halte Rajawali,Surabaya,BusStop,-7.2298,112.7331
29,Pelabuhan Tanjung Perak,Surabaya,BusStop,-7.2027,112.7326
30,Halte Segoromadu I,Gresik,BusStop,-7.1736,112.6722
31,Halte Gelora Joko Samudra I,Gresik,BusStop,-7.1654,112.6655
